Type      Name                          Path                                              Size (Bytes)   Creation Date       Modification Date   
-------------------------------------------------------------------------------------------------------------------------------------------------
File      LICENSE                       C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\LICENSE17987          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      Makefile                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\Makefile5107           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      mjpg_streamer.c               C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\mjpg_streamer.c15738          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      mjpg_streamer.h               C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\mjpg_streamer.h3617           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      README                        C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\README2631           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      start.sh                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\start.sh4630           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      Start_mjpg_Streamer.sh        C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\Start_mjpg_Streamer.sh292            2021-02-04 13:27:10 2020-12-23 06:40:26 
File      TODO                          C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\TODO285            2021-02-04 13:27:10 2020-12-23 06:40:26 
File      utils.c                       C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\utils.c2868           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      utils.h                       C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\utils.h2399           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      input.h                       C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input.h3422           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      output.h                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\output.h2645           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      dynctrl.c                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\dynctrl.c7362           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      dynctrl.h                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\dynctrl.h2805           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      input_uvc.c                   C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\input_uvc.c14284          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      Makefile                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\Makefile656            2021-02-04 13:27:10 2020-12-23 06:40:26 
File      uvcvideo.h                    C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\uvcvideo.h5439           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      uvc_compat.h                  C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_control\uvc_compat.h6045           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      input_file.c                  C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_file\input_file.c10537          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      Makefile                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_file\Makefile561            2021-02-04 13:27:10 2020-12-23 06:40:26 
File      encoder.c                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\encoder.c32392          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      encoder.h                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\encoder.h3883           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      huffman.c                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\huffman.c16318          2021-02-04 13:27:10 2020-12-23 06:40:26 
