Extension,Type,Name,Path,Size (Bytes),Creation Date,Modification Date
.py,Script,fn_logo_rc.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\fn_logo_rc.py,142741,2021-02-04 13:27:09,2020-12-23 06:40:26
.py,Script,Freenove_Math.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Freenove_Math.py,502,2021-02-04 13:27:09,2020-12-23 06:40:26
.py,Script,main.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\main.py,21712,2021-02-04 13:27:09,2020-12-23 06:40:26
.py,Script,Message.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Message.py,933,2021-02-04 13:27:09,2020-12-23 06:40:26
.py,Script,ScratchServer.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\ScratchServer.py,15917,2021-02-04 13:27:09,2020-12-23 06:40:26
.py,Script,TCPClient.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\TCPClient.py,1286,2021-02-04 13:27:09,2020-12-23 06:40:26
.py,Script,Ui_main.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Ui_main.py,27488,2021-02-04 13:27:09,2020-12-23 06:40:26
.py,Script,Ui_Message.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Ui_Message.py,1803,2021-02-04 13:27:09,2020-12-23 06:40:26
.html,Unknown,car_photo.html,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\html\car_photo.html,106,2021-02-04 13:27:09,2020-12-23 06:40:26
.jpg,Image,car_photo.jpg,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\html\imgs\car_photo.jpg,68064,2021-02-04 13:27:09,2020-12-23 06:40:26
.json,Unknown,extensions.json,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Scratch\extensions.json,494,2021-02-04 13:27:09,2020-12-23 06:40:26
